Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 201,N18-1680,MX15-1,139,,,,,
Oil Mapping Pop 201,N18-1681,MX15-1,140,,,,,
Oil Mapping Pop 201,N18-1682,MX15-1,141,,,,,
Oil Mapping Pop 201,N18-1683,MX15-1,142,,,,,
Oil Mapping Pop 201,N18-1684,MX15-1,143,,,,,
Oil Mapping Pop 201,N18-1685,MX15-1,144,,,,,
Oil Mapping Pop 201,N18-1686,MX15-1,145,,,,,
Oil Mapping Pop 201,N18-1687,MX15-1,146,,,,,
Oil Mapping Pop 201,N18-1688,MX15-1,147,,,,,
Oil Mapping Pop 201,N18-1689,MX15-1,148,,,,,
Oil Mapping Pop 201,N18-1690,MX15-1,149,,,,,
Oil Mapping Pop 201,N18-1691,MX15-1,150,,,,,
Oil Mapping Pop 201,N18-1692,MX15-1,151,,,,,
Oil Mapping Pop 201,N18-1693,MX15-1,153,,,,,
Oil Mapping Pop 201,N18-1694,MX15-1,154,,,,,
Oil Mapping Pop 201,N18-1695,MX15-1,155,,,,,
Oil Mapping Pop 201,N18-1696,MX15-1,156,,,,,
Oil Mapping Pop 201,N18-1697,MX15-1,157,,,,,
Oil Mapping Pop 201,N18-1698,MX15-1,158,,,,,
Oil Mapping Pop 201,N18-1699,MX15-1,159,,,,,
Oil Mapping Pop 201,N18-1700,MX15-1,160,,,,,
Oil Mapping Pop 201,N18-1701,MX15-1,161,,,,,
Oil Mapping Pop 201,N18-1702,MX15-1,162,,,,,
Oil Mapping Pop 201,N18-1703,MX15-1,163,,,,,
Oil Mapping Pop 201,N18-1704,MX15-1,164,,,,,
Oil Mapping Pop 201,N18-1705,MX15-1,165,,,,,
Oil Mapping Pop 201,N18-1706,MX15-1,166,,,,,
Oil Mapping Pop 201,N18-1707,MX15-1,167,,,,,
Oil Mapping Pop 201,N18-1708,MX15-1,169,,,,,
Oil Mapping Pop 201,N18-1709,MX15-1,170,,,,,
Oil Mapping Pop 201,N18-1710,MX15-1,171,,,,,
Oil Mapping Pop 201,N18-1711,MX15-1,172,,,,,
Oil Mapping Pop 201,N18-1712,MX15-1,174,,,,,
Oil Mapping Pop 201,N18-1713,MX15-1,175,,,,,
Oil Mapping Pop 201,N18-1714,MX15-1,176,,,,,
Oil Mapping Pop 201,N18-1715,MX15-1,177,,,,,
Oil Mapping Pop 201,N18-1716,MX15-1,178,,,,,
Oil Mapping Pop 201,N18-1717,MX15-1,180,,,,,
Oil Mapping Pop 201,N18-1718,MX15-1,181,,,,,
Oil Mapping Pop 201,N18-1719,MX15-1,182,,,,,
Oil Mapping Pop 201,N18-1720,MX15-1,183,,,,,
Oil Mapping Pop 201,N18-1721,MX15-1,184,,,,,
Oil Mapping Pop 201,N18-1722,MX15-1,185,,,,,
Oil Mapping Pop 201,N18-1723,MX15-1,186,,,,,
Oil Mapping Pop 201,N18-1724,MX15-1,187,,,,,
Oil Mapping Pop 201,N18-1725,MX15-1,188,,,,,
Oil Mapping Pop 201,N18-1726,MX15-1,189,,,,,
Oil Mapping Pop 201,N18-1727,MX15-1,190,,,,,
Oil Mapping Pop 201,N18-1728,MX15-1,191,,,,,
Oil Mapping Pop 201,N18-1729,MX15-1,192,,,,,
Oil Mapping Pop 201,N18-1730,MX15-1,193,,,,,
Oil Mapping Pop 201,N18-1731,MX15-1,194,,,,,
Oil Mapping Pop 201,N18-1732,MX15-1,195,,,,,
Oil Mapping Pop 201,N18-1733,MX15-1,196,,,,,
Oil Mapping Pop 201,N18-1734,MX15-1,197,,,,,
Oil Mapping Pop 201,N18-1735,MX15-1,198,,,,,
Oil Mapping Pop 201,N18-1736,MX15-1,199,,,,,
