Column1,Column2,Column3
PI ,Common Name (from GRIN),
PI92567,7762,
PI92568,7763,
PI92569,7764,
PI92570,7765,
PI92571,7766,
PI92572,7767,
PI92573,7768,
PI92576,7771,
PI92577,7772,
PI92580,7775,
PI92582,7777,
PI92583,7778,
PI92589,7784,
PI92590,7785,
PI92592,7787,
PI92593,7788,
PI92594,7789,
PI92595,7790,
PI92596,7791,
PI92598,7793,
PI92600,7795,
PI92601-5,7796,
PI92601-2,7796,
PI92601-1,7796,
PI92601,7796,
PI92602,7797,
PI92603,7798,
PI92604,7799,
PI92605,7800,
PI92606,7801,
PI92607,7802,
PI92608,7803,
PI92611,7806,
PI92617,7812,
PI92618,7813,
PI92619,7814,
PI92623,7818,
PI92625,7820,
PI92627,7822,
PI92629,7824,
PI92630,7825,
PI92633,7828,
PI92636,7831,
PI92639,7834,
PI92640,7835,
PI92641B,7836,
PI92641,7836,
PI92642,7837,
PI92643,7838,
PI92645,7840,
PI92649,7844,
PI92651,7846,
PI92654,7849,
PI92659,7854,
PI92660,7855,
PI92661,7856,
PI92662,7857,
PI92663,7858,
PI92671,7866,
PI92672,7867,
PI92677,7872,
PI92681,7876,
PI92683,7878,
PI92684,7879,
PI92686,7881,
PI92687,7882,
PI92688-2,7883,
PI92688,7883,
PI92689,7884,
PI92690,7885,
PI92691,7886,
PI92694,7889,
PI92696,7891,
PI92698,7893,
PI92702,7897,
PI92704,7899,
PI92705,7900,
PI92706,7901,
PI92707-2,7902,
PI92707,7902,
PI92707S,7902,
PI92713,7908,
PI92717,7912,
PI92718-2,7913,
PI92718,7913,
PI92719,7914,
PI92720,7915,
PI92722,7917,
PI92728,7923,
PI92733,7928,
PI92734,7929,
PI93563,7936,
PI93565A,7938,
PI93565,7938,
PI70224,7997,
PI70228,8018,
PI70229,8021,
PI70241,8079,
PI70242-4,8085,
PI70242-2,8085,
PI70242,8085,
PI70243,8090,
PI70247,8112,
PI70251,8129,
PI70253,8137,
PI70485,8148,
PI70490,8170,
PI70495,8191,
PI70500,8218,
PI70501,8223,
PI70503,8231,
PI70507,8248,
PI70515,8290,
PI70516,8298,
PI70519,8310,
PI70520,8312,
PI70528,8370,
PI70559,8563,
PI70561,8575,
PI70566,8591,
PI71845,8642,
PI71850-1,8660,
PI71850,8660,
PI71161,8749,
PI72328,8907,
PI72337,8951,
PI72341,8969,
PI72342,8973,
PI592534,9004,
PI572277,9007,
PI584459,9008,
PI572275,9041,
PI584460,9042,
PI556771,9061,
PI561584,9062,
PI572276,9071,
PI73583,9077,
PI73585,9084,
PI73587,9091,
PI556836,9091,
PI584461,9092,
PI556872,9111,
PI556908,9121,
PI550728,9131,
PI592535,9132,
PI572278,9141,
PI73772,9143,
PI592536,9151,
PI556873,9161,
PI542065,9162,
PI592537,9163,
PI542056,9171,
PI592538,9172,
PI73780,9174,
PI556837,9181,
PI595695,9182,
PI542057,9191,
PI556797,9201,
PI556838,9202,
PI584462,9204,
PI542058,9221,
PI550729,9231,
PI561582,9232,
PI595697,9233,
PI595829,9234,
PI542059,9241,
PI572271,9242,
PI592542,9244,
PI595826,9245,
PI556798,9251,
PI570658,9252,
PI592540,9254,
PI592541,9255,
PI556736,9271,
PI556869,9272,
PI542060,9273,
PI584463,9281,
PI556735,9292,
PI556874,9293,
PI595830,9294,
PI556870,9301,
PI556909,9302,
PI556910,9303,
PI572284,9304,
PI592543,9305,
PI595684,9306,
PI542061,9311,
PI561585,9312,
PI592544,9313,
PI584464,9321,
PI595696,9322,
PI592545,9323,
PI556839,9331,
PI595685,9333,
PI556911,9341,
PI572285,9342,
PI595686,9344,
PI561583,9351,
PI592547,9352,
PI556799,9361,
PI578038,9362,
PI542062,9381,
PI556840,9391,
PI550730,9392,
PI578039,9393,
PI572280,9394,
PI595698,9396,
PI556875,9402,
PI556912,9411,
PI584465,9412,
PI595689,9421,
PI556734,9441,
PI556841,9442,
PI550731,9443,
PI572281,9451,
PI584467,9452,
PI556913,9461,
PI556733,9471,
PI584468,9472,
PI592548,9481,
PI595690,9482,
PI572282,9491,
PI602404,9492,
PI556871,9501,
PI595827,9511,
PI550735,9521,
PI556775,9531,
PI550733,9551,
PI595691,9552,
PI556670,9561,
PI556732,9571,
PI556800,9581,
PI556914,9582,
PI550734,9583,
PI564714,9584,
PI556773,9591,
PI556915,9592,
PI550732,9593,
PI595692,9594,
PI592549,9611,
PI556842,9641,
PI595694,9671,
PI542063,9681,
PI556770,9691,
PI556916,9711,
PI572283,9721,
PI556801,9751,
PI550736,9761,
PI556774,9791,
PI561586,9831,
PI632702,11824,
PI636125,13744,
PI424130,17124,
PI632696,25340,
PI632697,33405,
PI556892,34870,
PI240079,6-3-1,
PI437546,1-9-3,
PI632700,40887,
PI578370,6-5,
PI636120,44483,
PI632706,49431,
PI612761A,50131,
PI612760,50392,
PI612762,50461,
PI632698,53381,
PI612739,67562,
PI612738,67803,
PI603600,72022,
PI424004A,74001,
PI424004B,74001,
PI424005,74002,
PI424006A,74004,
PI424006B,74004,
PI424007,74005,
PI424008A,74006,
PI424008B,74006,
PI424008C,74006,
PI424009,74007,
PI424010,74008,
PI424011,74009,
PI424012,74010,
PI424013,74011,
PI424014,74012,
PI424015,74013,
PI424016,74014,
PI424017A,74015,
PI424017B,74015,
PI424018,74016,
PI424019,74017,
PI424020A,74018,
PI424020B,74018,
PI424021A,74019,
